CalisanID,Yas,Departman,Sehir,DeneyimYili,Maas,PerformansPuani,IseGirisTarihi
1,26,Satis,Bursa,7,29329.06,2.88,2015-01-01
2,47,IK,Izmir,14,29380.65,3.91,2015-01-12
3,25,Pazarlama,Ankara,27,30810.18,4.19,2015-01-23
4,41,Satis,Izmir,19,155700.0,4.6,2015-02-03
5,45,Pazarlama,Bursa,17,31970.41,1.79,2015-02-14
6,50,IT,Ankara,16,30432.62,4.46,2015-02-25
7,36,Finans,Istanbul,2,17450.95,4.13,2015-03-08
8,45,IK,Istanbul,22,28252.16,,2015-03-19
9,30,IK,Bursa,17,21481.43,4.12,2015-03-30
10,47,Pazarlama,Ankara,24,33826.64,2.04,2015-04-10
11,99,Satis,Ankara,1,23712.26,4.69,2015-04-21
12,30,IK,Ankara,14,,4.9,2015-05-02
13,26,IK,Istanbul,2,24662.0,2.64,2015-05-13
14,29,Finans,Ankara,18,24662.42,2.31,2015-05-24
15,22,IK,Bursa,15,31836.82,3.19,2015-06-04
16,33,IT,Ankara,9,16443.77,1.32,2015-06-15
17,28,IT,Ankara,23,23655.33,3.81,2015-06-26
18,41,Satis,Izmir,16,19798.18,2.31,2015-07-07
19,27,Pazarlama,Bursa,4,17601.07,2.27,2015-07-18
20,46,Finans,Ankara,13,28681.59,1.22,2015-07-29
21,22,Finans,Bursa,12,20675.65,1.71,2015-08-09
22,56,IK,Istanbul,4,24879.29,1.47,2015-08-20
23,31,IK,Bursa,16,36244.32,2.25,2015-08-31
24,36,IT,Ankara,5,17105.760000000002,3.87,2015-09-11
25,26,Finans,Bursa,20,22598.75,4.87,2015-09-22
26,31,Satis,Izmir,7,15393.86,3.84,2015-10-03
27,45,Satis,Ankara,13,14676.69,,2015-10-14
28,57,Satis,Bursa,1,,2.15,2015-10-25
29,25,Pazarlama,Istanbul,26,31537.9,1.48,2015-11-05
30,30,IT,Izmir,0,23497.69,4.98,2015-11-16
31,41,Finans,Bursa,15,23254.69,4.28,2015-11-27
32,23,IK,Ankara,26,23521.68,3.52,2015-12-08
33,22,Pazarlama,Ankara,13,37800.13,1.48,2015-12-19
34,38,Satis,Ankara,11,,4.9,2015-12-30
35,53,Finans,Istanbul,7,33382.759999999995,1.5,2016-01-10
36,51,IT,Istanbul,11,41480.05,3.77,2016-01-21
37,50,IK,Izmir,1,31188.0,3.24,2016-02-01
38,29,IT,Izmir,5,25889.75,1.88,2016-02-12
39,45,Satis,Istanbul,22,22547.28,4.1,2016-02-23
40,32,IT,Ankara,24,29120.07,1.51,2016-03-05
